526540,Rochester,Monroe,Rochester,NY,14624,Northeast,471-57-0359,212-884-7146
859327,Luverne,Crenshaw,Luverne,AL,36049,South,624-85-4146,205-665-7020
887387,Hodges,Franklin,Hodges,AL,35571,South,097-02-3315,205-959-7879
779497,Savoy,Champaign,Savoy,IL,61874,Midwest,134-98-6566,217-858-0054
896517,Stet,Carroll,Stet,MO,64680,Midwest,599-92-7345,314-893-2590
220965,Lyons,Toombs,Lyons,GA,30436,South,109-98-3095,229-238-0915
721091,Kalida,Putnam,Kalida,OH,45853,Midwest,047-15-8435,216-849-6986
633636,Hamilton,Jefferson,Hamilton,PA,15744,Northeast,257-99-3865,215-614-1953
823898,Panama,Shelby,Panama,IA,51562,Midwest,044-15-4027,319-943-1308
413865,Young America,Carver,Young America,MN,55558,Midwest,553-99-2106,218-671-2547
439483,Bear Creek,Outagamie,Bear Creek,WI,54922,Midwest,264-99-9423,262-893-5324
809408,Harleysville,Montgomery,Harleysville,PA,19441,Northeast,119-98-1796,215-821-4109
748190,Reddick,Kankakee,Reddick,IL,60961,Midwest,116-98-6696,217-567-3339
397283,Kreamer,Snyder,Kreamer,PA,17833,Northeast,192-86-7823,215-352-5080
553684,Sublette,Haskell,Sublette,KS,67877,Midwest,032-92-6090,316-737-9183
495667,Mesa,Maricopa,Mesa,AZ,85207,West,731-28-8642,480-381-5936
936158,Brockway,Jefferson,Brockway,PA,15824,Northeast,126-98-9929,215-824-1223
537591,Atlanta,Fulton,Atlanta,GA,30371,South,369-39-1426,229-497-4180
909018,Washington,District of Columbia,Washington,DC,20242,South,005-13-9026,202-652-7351
878666,Lake Itasca,Lake Itasca,Lake Itasca,MN,56460,Midwest,540-83-9723,218-621-9347
995710,Montpelier,Blackford,Montpelier,IN,47359,Midwest,403-73-1584,219-797-9997
511059,Jeddo,St. Clair,Jeddo,MI,48032,Midwest,210-84-3620,231-445-8008
754455,Dallas,Barron,Dallas,WI,54733,Midwest,753-07-4603,262-835-1119
489275,Reedley,Fresno,Reedley,CA,93654,West,704-18-2387,209-293-8759
500905,Brandon,Hillsborough,Brandon,FL,33511,South,008-94-7794,239-294-7204
984409,Hallsville,Ross,Hallsville,OH,45633,Midwest,444-27-9644,216-961-7231
812053,Belvidere,Boone,Belvidere,IL,61008,Midwest,385-37-9974,217-304-4274
550206,Dallas,Dallas,Dallas,TX,75363,South,556-99-1014,210-374-1084
728053,Berwick,Warren,Berwick,IL,61417,Midwest,548-99-7981,217-348-2881
184257,Vienna,Fairfax,Vienna,VA,22184,South,344-11-4272,236-433-5011
235295,Lakewood,Cuyahoga,Lakewood,OH,44107,Midwest,031-92-8075,216-407-3106
767674,Crockett,Wythe,Crockett,VA,24323,South,636-31-2014,236-666-5736
391837,Genesee Depot,Waukesha,Genesee Depot,WI,53127,Midwest,109-98-9846,262-617-9565
466560,Shasta Lake,Shasta,Shasta Lake,CA,96019,West,019-94-6803,209-877-7013
900756,Lookout Mountain,Walker,Lookout Mountain,GA,30750,South,607-87-2621,229-413-6404
678628,Sesser,Franklin,Sesser,IL,62884,Midwest,430-99-8830,217-297-4629
492527,Sterling Heights,Macomb,Sterling Heights,MI,48312,Midwest,042-15-4369,231-885-2299
886060,Hood,Madison,Hood,VA,22723,South,399-31-6070,236-832-1401
366431,Oktaha,Muskogee,Oktaha,OK,74450,South,693-16-3108,405-620-5457
331297,Briar,Ripley,Briar,MO,63931,Midwest,625-85-6937,314-817-2178
496541,Orefield,Lehigh,Orefield,PA,18069,Northeast,466-99-0813,215-259-8618
654617,Wells,Wells,Wells,KS,67488,Midwest,218-89-5439,316-362-8838
163409,Bartlett,Cook,Bartlett,IL,60103,Midwest,235-57-9815,217-846-4054
299088,Eldersville,Washington,Eldersville,PA,15036,Northeast,073-02-8837,215-403-5296
