526540,Ms.,Angelique,K,Goodwin,F,angelique.goodwin@gmail.com,Rick Goodwin,Dorian Goodwin,Maxey,5/15/1964,3:46:46 AM,56,3/24/2001,Q1,H1,2001,3,March,Mar,24,Saturday,Sat,16.36,193710,1001
859327,Ms.,Jeni,S,Shaffer,F,jeni.shaffer@gmail.com,Ryan Shaffer,Love Shaffer,Gunderson,1/13/1962,11:11:31 AM,54,12-10-2015,Q4,H2,2015,12,December,Dec,10,Thursday,Thu,1.63,144133,2001
887387,Ms.,Donald,T,Farris,F,donald.farris@bellsouth.net,Mauro Farris,Edyth Farris,Greer,04-11-1958,11:58:51 PM,40,11-12-1979,Q4,H2,1979,11,November,Nov,12,Monday,Mon,37.73,132617,2001
779497,Hon.,Steven,D,Rendon,M,steven.rendon@gmail.com,Elden Rendon,Angela Rendon,Ortiz,04-04-1982,1:06:30 AM,81,9/18/2008,Q3,H2,2008,9,September,Sep,18,Thursday,Thu,8.86,77898,2001
896517,Drs.,Jenell,L,Almanza,F,jenell.almanza@yahoo.com,Clifford Almanza,Vergie Almanza,Darby,07-01-1958,4:28:54 AM,47,7/14/1993,Q3,H2,1993,7,July,Jul,14,Wednesday,Wed,24.05,139856,2001
220965,Mrs.,Almeta,Y,Brookins,F,almeta.brookins@gmail.com,Richard Brookins,Angelika Brookins,Pape,05-08-1985,3:32:57 AM,41,4/25/2017,Q2,H1,2017,4,April,Apr,25,Tuesday,Tue,0.26,90576,1001
721091,Prof.,Bobbie,E,Branson,M,bobbie.branson@hotmail.com,Joan Branson,Nu Branson,Frazer,02-10-1996,11:47:37 PM,71,4/27/2017,Q2,H1,2017,4,April,Apr,27,Thursday,Thu,0.25,178641,1001
633636,Prof.,Bertram,R,Carlisle,M,bertram.carlisle@aol.com,Ivory Carlisle,Bao Carlisle,Cintron,12/31/1982,8:24:37 PM,61,11-02-2012,Q4,H2,2012,11,November,Nov,2,Friday,Fri,4.74,163773,1001
823898,Prof.,Carlton,E,Leclair,M,carlton.leclair@cox.net,Elroy Leclair,Georgann Leclair,Merchant,3/17/1986,3:47:00 PM,56,01-07-2009,Q1,H1,2009,1,January,Jan,7,Wednesday,Wed,8.56,50397,2001
413865,Mr.,Todd,R,Slater,M,todd.slater@earthlink.net,Donnie Slater,Shay Slater,Conaway,06-09-1995,10:34:52 AM,58,03-07-2017,Q1,H1,2017,3,March,Mar,7,Tuesday,Tue,0.39,54458,2001
