198429,Mrs.,Serafina,I,Bumgarner,F,serafina.bumgarner@exxonmobil.com,Vaughn Bumgarner,Sharell Bumgarner,Floyd,9/21/1982,1:53:14 AM,45,02-01-2008,Q1,H1,2008,2,February,Feb,1,Friday,Fri,9.49,69294
178566,Mrs.,Juliette,M,Rojo,F,juliette.rojo@yahoo.co.uk,Williams Rojo,Rufina Rojo,Stearns,05-08-1967,6:03:23 PM,55,06-04-2011,Q2,H1,2011,6,June,Jun,4,Saturday,Sat,6.15,193912
647173,Mr.,Milan,F,Krawczyk,M,milan.krawczyk@hotmail.com,Tommie Krawczyk,Billi Krawczyk,Soriano,04-04-1980,7:07:22 AM,68,1/19/2012,Q1,H1,2012,1,January,Jan,19,Thursday,Thu,5.53,123681
847634,Mr.,Elmer,R,Jason,M,elmer.jason@yahoo.com,Marshall Jason,Paulene Jason,Atherton,04-09-1996,12:55:59 AM,78,5/28/2017,Q2,H1,2017,5,May,May,28,Sunday,Sun,0.17,93504
260736,Ms.,Zelda,P,Forest,F,zelda.forest@ibm.com,Chester Forest,Marti Forest,Bedell,11/27/1959,8:49:14 PM,57,1/28/2014,Q1,H1,2014,1,January,Jan,28,Tuesday,Tue,3.5,176642
811306,Mr.,Rhett,P,Wan,M,rhett.wan@hotmail.com,Johnny Wan,Keva Wan,Gehring,7/14/1976,12:06:19 AM,71,1/21/2009,Q1,H1,2009,1,January,Jan,21,Wednesday,Wed,8.52,59406
956633,Mr.,Hal,H,Farrow,M,hal.farrow@cox.net,Monty Farrow,Bernardina Farrow,Stewart,3/15/1967,2:45:15 AM,87,2/25/1991,Q1,H1,1991,2,February,Feb,25,Monday,Mon,26.44,164580
629539,Dr.,Del,I,Fernandez,M,del.fernandez@hotmail.com,Freeman Fernandez,Elisha Fernandez,Farias,8/13/1991,9:37:47 PM,60,04-07-2016,Q2,H1,2016,4,April,Apr,7,Thursday,Thu,1.31,138662
784160,Dr.,Corey,A,Jackman,M,corey.jackman@gmail.com,Kris Jackman,Molly Jackman,Feller,04-12-1959,12:27:16 PM,80,6/29/1984,Q2,H1,1984,6,June,Jun,29,Friday,Fri,33.1,57616
744723,Hon.,Bibi,H,Paddock,F,bibi.paddock@yahoo.co.in,Gilberto Paddock,Celia Paddock,Smtih,10/20/1991,10:09:34 PM,52,11-02-2016,Q4,H2,2016,11,November,Nov,2,Wednesday,Wed,0.73,87148
423093,Mr.,Eric,O,Manning,M,eric.manning@yahoo.com,Chas Manning,Shirleen Manning,Batson,11-02-1980,8:48:01 PM,64,10/28/2002,Q4,H2,2002,10,October,Oct,28,Monday,Mon,14.76,149363
207808,Ms.,Renetta,T,Hafner,F,renetta.hafner@aol.com,Phil Hafner,Mora Hafner,Eberhardt,1/29/1975,11:50:51 AM,50,8/22/1998,Q3,H2,1998,8,August,Aug,22,Saturday,Sat,18.95,180289
338634,Ms.,Paz,T,Pearman,F,paz.pearman@gmail.com,Sean Pearman,Mikaela Pearman,Boehm,2/28/1960,8:35:18 PM,46,5/25/1982,Q2,H1,1982,5,May,May,25,Tuesday,Tue,35.2,144804
324573,Hon.,Ardath,Q,Forman,F,ardath.forman@gmail.com,Glenn Forman,Consuela Forman,Jobe,11-12-1982,4:54:17 AM,56,10/16/2009,Q4,H2,2009,10,October,Oct,16,Friday,Fri,7.79,189373
953724,Mrs.,Nanci,D,Osorio,F,nanci.osorio@hotmail.com,Renaldo Osorio,Xochitl Osorio,Nash,07-09-1982,12:02:26 PM,44,11-07-2003,Q4,H2,2003,11,November,Nov,7,Friday,Fri,13.73,71321
138700,Ms.,Maricela,H,Simard,F,maricela.simard@gmail.com,Dwayne Simard,Michele Simard,Breault,7/21/1988,7:06:17 PM,49,9/25/2016,Q3,H2,2016,9,September,Sep,25,Sunday,Sun,0.84,88513
644265,Ms.,Avelina,I,Stoner,F,avelina.stoner@exxonmobil.com,Conrad Stoner,Tai Stoner,Laroche,10-01-1988,12:15:44 PM,42,11/30/2010,Q4,H2,2010,11,November,Nov,30,Tuesday,Tue,6.66,157826
223871,Drs.,Christene,O,Mattison,F,christene.mattison@gmail.com,Elroy Mattison,Brittaney Mattison,Rayner,9/14/1990,9:43:32 AM,46,9/13/2015,Q3,H2,2015,9,September,Sep,13,Sunday,Sun,1.87,177224
807262,Mr.,Stefan,O,Maeda,M,stefan.maeda@yahoo.com,Blair Maeda,Stephany Maeda,Brittingham,3/23/1990,9:14:56 AM,57,11-05-2011,Q4,H2,2011,11,November,Nov,5,Saturday,Sat,5.73,67028
368234,Drs.,Gillian,T,Winter,F,gillian.winter@gmail.com,Arlie Winter,Bernarda Winter,Alton,1/17/1960,2:25:49 PM,48,11/28/1984,Q4,H2,1984,11,November,Nov,28,Wednesday,Wed,32.68,103619
807442,Hon.,Ed,E,Ferrari,M,ed.ferrari@gmail.com,Sung Ferrari,Alverta Ferrari,Norvell,9/27/1981,7:31:47 AM,51,2/15/2015,Q1,H1,2015,2,February,Feb,15,Sunday,Sun,2.45,145831
956778,Ms.,Jewell,L,Thies,F,jewell.thies@aol.com,Tyrell Thies,Joette Thies,Barrow,2/16/1991,11:29:52 AM,51,4/28/2017,Q2,H1,2017,4,April,Apr,28,Friday,Fri,0.25,153248
496781,Dr.,Jonathan,Z,Rosa,M,jonathan.rosa@gmail.com,Carter Rosa,Ursula Rosa,Cranford,2/19/1981,5:51:15 AM,61,7/23/2010,Q3,H2,2010,7,July,Jul,23,Friday,Fri,7.02,198838
301629,Mr.,Ruben,L,Weissman,M,ruben.weissman@gmail.com,Lamont Weissman,Lawanna Weissman,Henke,12/28/1995,11:07:05 PM,84,01-03-2017,Q1,H1,2017,1,January,Jan,3,Tuesday,Tue,0.56,48543
668065,Mrs.,Deja,H,Niemeyer,F,deja.niemeyer@gmail.com,Josiah Niemeyer,Emelia Niemeyer,Braddy,09-04-1961,4:37:10 AM,41,06-05-2012,Q2,H1,2012,6,June,Jun,5,Tuesday,Tue,5.15,130000
836931,Ms.,Selene,S,Ford,F,selene.ford@aol.com,Jarrett Ford,Andre Ford,Bow,3/23/1992,12:38:12 AM,42,10-07-2013,Q4,H2,2013,10,October,Oct,7,Monday,Mon,3.81,143902
914698,Ms.,Janeen,M,Norman,F,janeen.norman@gmail.com,Forrest Norman,Krishna Norman,Chick,1/28/1989,6:35:10 PM,53,01-05-2012,Q1,H1,2012,1,January,Jan,5,Thursday,Thu,5.56,117383
872750,Mr.,Johnnie,J,Ibarra,M,johnnie.ibarra@aol.com,Abel Ibarra,Nenita Ibarra,Dunford,01-10-1972,6:04:09 PM,71,4/14/2013,Q2,H1,2013,4,April,Apr,14,Sunday,Sun,4.29,181385
813428,Mr.,Emerson,L,Sands,M,emerson.sands@gmail.com,Herb Sands,Judith Sands,Schuman,07-08-1978,10:18:04 PM,76,01-01-2015,Q1,H1,2015,1,January,Jan,1,Thursday,Thu,2.57,106048
380228,Mr.,Oswaldo,V,Dodd,M,oswaldo.dodd@gmail.com,Terry Dodd,Oma Dodd,Mazur,11/24/1975,3:24:57 AM,88,11/14/1998,Q4,H2,1998,11,November,Nov,14,Saturday,Sat,18.72,92047
791100,Ms.,Leone,Y,Buss,F,leone.buss@yahoo.co.uk,Marcelo Buss,Mariette Buss,Finkle,1/31/1968,2:26:33 AM,56,12/31/1996,Q4,H2,1996,12,December,Dec,31,Tuesday,Tue,20.59,44080
613551,Mr.,Jay,Y,Shields,M,jay.shields@gmail.com,Angelo Shields,Treasa Shields,Darnell,03-11-1981,10:08:11 AM,70,8/26/2013,Q3,H2,2013,8,August,Aug,26,Monday,Mon,3.92,167893
